Country,Year,Species ,Number ,Link 
Afghanistan,2004,Vertebrates,31,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Afghanistan,2010,Vertebrates,31,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Afghanistan,2016,Vertebrates,35,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Afghanistan,2017,Vertebrates,35,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Afghanistan,2018,Vertebrates,34,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Afghanistan,2019,Vertebrates,33,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Afghanistan,2020,Vertebrates,33,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Afghanistan,2004,Invertebrates,1,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Afghanistan,2010,Invertebrates,1,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Afghanistan,2016,Invertebrates,2,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Afghanistan,2017,Invertebrates,2,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Afghanistan,2018,Invertebrates,2,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Afghanistan,2019,Invertebrates,2,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Afghanistan,2020,Invertebrates,2,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Afghanistan,2004,Plants,1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Afghanistan,2010,Plants,2,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Afghanistan,2016,Plants,5,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Afghanistan,2017,Plants,5,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Afghanistan,2018,Plants,5,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Afghanistan,2019,Plants,5,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Afghanistan,2020,Plants,5,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Afghanistan,2004,Total,33,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Afghanistan,2010,Total,34,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Afghanistan,2016,Total,42,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Afghanistan,2017,Total,42,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Afghanistan,2018,Total,41,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Afghanistan,2019,Total,40,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Afghanistan,2020,Total,40,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Åland Islands,2020,Vertebrates,0,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Åland Islands,2020,Invertebrates,0,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Åland Islands,2020,Plants,1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Åland Islands,2020,Total,1,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Albania,2004,Vertebrates,33,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Albania,2010,Vertebrates,53,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Albania,2016,Vertebrates,63,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Albania,2017,Vertebrates,62,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Albania,2018,Vertebrates,62,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Albania,2019,Vertebrates,61,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Albania,2020,Vertebrates,64,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Albania,2004,Invertebrates,4,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Albania,2010,Invertebrates,47,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Albania,2016,Invertebrates,62,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Albania,2017,Invertebrates,68,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Albania,2018,Invertebrates,71,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Albania,2019,Invertebrates,71,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Albania,2020,Invertebrates,73,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Albania,2004,Plants,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Albania,2010,Plants,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Albania,2016,Plants,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Albania,2017,Plants,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Albania,2018,Plants,4,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Albania,2019,Plants,5,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Albania,2020,Plants,5,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Albania,2004,Total,37,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Albania,2010,Total,100,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Albania,2016,Total,125,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Albania,2017,Total,130,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Albania,2018,Total,137,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Albania,2019,Total,137,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Albania,2020,Total,142,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Algeria,2004,Vertebrates,36,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Algeria,2010,Vertebrates,69,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Algeria,2016,Vertebrates,78,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Algeria,2017,Vertebrates,79,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Algeria,2018,Vertebrates,80,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Algeria,2019,Vertebrates,81,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Algeria,2020,Vertebrates,85,https://sciencenotes.org/wp-content/uploads/2022/06/5-Groups-of-Vertebrates-Examples.png
Algeria,2004,Invertebrates,12,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Algeria,2010,Invertebrates,21,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Algeria,2016,Invertebrates,29,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Algeria,2017,Invertebrates,38,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Algeria,2018,Invertebrates,40,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Algeria,2019,Invertebrates,40,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Algeria,2020,Invertebrates,42,https://images.squarespace-cdn.com/content/v1/5b1576d03c3a534039ea63b5/1537898451312-I792X2XLLG1P6NXDQ2OB/invertebrates.png?format=1500w 
Algeria,2004,Plants,2,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Algeria,2010,Plants,15,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Algeria,2016,Plants,18,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Algeria,2017,Plants,18,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Algeria,2018,Plants,23,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Algeria,2019,Plants,24,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Algeria,2020,Plants,28,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png/330px-Diversity_of_plants_%28Streptophyta%29_version_2.png 
Algeria,2004,Total,50,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Algeria,2010,Total,105,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
Algeria,2016,Total,125,https://www.beeculture.com/wp-content/uploads/2018/04/BUZZ-4-25-2018-1158x580.jpg
