Threatened species,Year,Series,Value
Afghanistan,2004,Threatened Species: Vertebrates (number),31
Afghanistan,2010,Threatened Species: Vertebrates (number),31
Afghanistan,2016,Threatened Species: Vertebrates (number),35
Afghanistan,2017,Threatened Species: Vertebrates (number),35
Afghanistan,2018,Threatened Species: Vertebrates (number),34
Afghanistan,2019,Threatened Species: Vertebrates (number),33
Afghanistan,2020,Threatened Species: Vertebrates (number),33
Afghanistan,2004,Threatened Species: Invertebrates (number),1
Afghanistan,2010,Threatened Species: Invertebrates (number),1
Afghanistan,2016,Threatened Species: Invertebrates (number),2
Afghanistan,2017,Threatened Species: Invertebrates (number),2
Afghanistan,2018,Threatened Species: Invertebrates (number),2
Afghanistan,2019,Threatened Species: Invertebrates (number),2
Afghanistan,2020,Threatened Species: Invertebrates (number),2
Afghanistan,2004,Threatened Species: Plants (number),1
Afghanistan,2010,Threatened Species: Plants (number),2
Afghanistan,2016,Threatened Species: Plants (number),5
Afghanistan,2017,Threatened Species: Plants (number),5
Afghanistan,2018,Threatened Species: Plants (number),5
Afghanistan,2019,Threatened Species: Plants (number),5
Afghanistan,2020,Threatened Species: Plants (number),5
Afghanistan,2004,Threatened Species: Total (number),33
Afghanistan,2010,Threatened Species: Total (number),34
Afghanistan,2016,Threatened Species: Total (number),42
Afghanistan,2017,Threatened Species: Total (number),42
Afghanistan,2018,Threatened Species: Total (number),41
Afghanistan,2019,Threatened Species: Total (number),40
Afghanistan,2020,Threatened Species: Total (number),40
Åland Islands,2020,Threatened Species: Vertebrates (number),0
Åland Islands,2020,Threatened Species: Invertebrates (number),0
Åland Islands,2020,Threatened Species: Plants (number),1
Åland Islands,2020,Threatened Species: Total (number),1
Albania,2004,Threatened Species: Vertebrates (number),33
Albania,2010,Threatened Species: Vertebrates (number),53
Albania,2016,Threatened Species: Vertebrates (number),63
Albania,2017,Threatened Species: Vertebrates (number),62
Albania,2018,Threatened Species: Vertebrates (number),62
Albania,2019,Threatened Species: Vertebrates (number),61
Albania,2020,Threatened Species: Vertebrates (number),64
Albania,2004,Threatened Species: Invertebrates (number),4
Albania,2010,Threatened Species: Invertebrates (number),47
Albania,2016,Threatened Species: Invertebrates (number),62
Albania,2017,Threatened Species: Invertebrates (number),68
Albania,2018,Threatened Species: Invertebrates (number),71
Albania,2019,Threatened Species: Invertebrates (number),71
Albania,2020,Threatened Species: Invertebrates (number),73
Albania,2004,Threatened Species: Plants (number),0
Albania,2010,Threatened Species: Plants (number),0
Albania,2016,Threatened Species: Plants (number),0
Albania,2017,Threatened Species: Plants (number),0
Albania,2018,Threatened Species: Plants (number),4
Albania,2019,Threatened Species: Plants (number),5
Albania,2020,Threatened Species: Plants (number),5
Albania,2004,Threatened Species: Total (number),37
Albania,2010,Threatened Species: Total (number),100
Albania,2016,Threatened Species: Total (number),125
Albania,2017,Threatened Species: Total (number),130
Albania,2018,Threatened Species: Total (number),137
Albania,2019,Threatened Species: Total (number),137
Albania,2020,Threatened Species: Total (number),142
Algeria,2004,Threatened Species: Vertebrates (number),36
Algeria,2010,Threatened Species: Vertebrates (number),69
Algeria,2016,Threatened Species: Vertebrates (number),78
Algeria,2017,Threatened Species: Vertebrates (number),79
Algeria,2018,Threatened Species: Vertebrates (number),80
Algeria,2019,Threatened Species: Vertebrates (number),81
Algeria,2020,Threatened Species: Vertebrates (number),85
Algeria,2004,Threatened Species: Invertebrates (number),12
Algeria,2010,Threatened Species: Invertebrates (number),21
Algeria,2016,Threatened Species: Invertebrates (number),29
Algeria,2017,Threatened Species: Invertebrates (number),38
Algeria,2018,Threatened Species: Invertebrates (number),40
Algeria,2019,Threatened Species: Invertebrates (number),40
Algeria,2020,Threatened Species: Invertebrates (number),42
Algeria,2004,Threatened Species: Plants (number),2
Algeria,2010,Threatened Species: Plants (number),15
Algeria,2016,Threatened Species: Plants (number),18
Algeria,2017,Threatened Species: Plants (number),18
Algeria,2018,Threatened Species: Plants (number),23
Algeria,2019,Threatened Species: Plants (number),24
Algeria,2020,Threatened Species: Plants (number),28
Algeria,2004,Threatened Species: Total (number),50
Algeria,2010,Threatened Species: Total (number),105
Algeria,2016,Threatened Species: Total (number),125
Algeria,2017,Threatened Species: Total (number),135
Algeria,2018,Threatened Species: Total (number),143
Algeria,2019,Threatened Species: Total (number),145
Algeria,2020,Threatened Species: Total (number),155
American Samoa,2004,Threatened Species: Vertebrates (number),18
American Samoa,2010,Threatened Species: Vertebrates (number),21
American Samoa,2016,Threatened Species: Vertebrates (number),27
